0.0050003 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.0150008 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.0250014 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.035002 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.0450025 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.0550031 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.0650037 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.0750043 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.0850048 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.0950054 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.105006 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.1150065 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.1250071 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.1350077 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.1450083 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.1550088 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.1650094 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.17501 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.1850105 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.1950111 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.2050117 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.2150123 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.2250128 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.2350134 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.245014 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.2550146 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.2650151 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
