0.0060004 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.0160009 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.0260015 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.0360021 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.0460027 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.0560032 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.0660038 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.0760044 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.0860049 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.0960055 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.1060061 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.1160067 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.1260072 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.1360078 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.1460084 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.156009 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.1660095 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.1760101 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.1860107 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.1960112 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.2060118 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.2160124 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.226013 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.2360135 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.2460141 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.2560147 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.2660152 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.2760158 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.2860164 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.296017 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.3060175 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.3160181 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.3260187 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.3360192 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.3460198 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.3560204 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.366021 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.3760215 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.3860221 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.3960227 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.4060233 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.4160238 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.4260244 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.436025 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.4460255 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.4560261 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.4660267 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.4760273 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.4860278 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.4960284 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.506029 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.5160295 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.5260301 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.5360307 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.5460313 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.5560318 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.5660324 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.576033 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.5860335 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.5960341 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.6060347 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.6160353 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.6260358 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.6360364 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.646037 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.6560376 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.6660381 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.6760387 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.6860393 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.6960398 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.7060404 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.716041 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.7260416 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.7360421 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.7460427 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.7560433 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.7660438 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.7760444 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.786045 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.7960456 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.8060461 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.8160467 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.8260473 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
